appSecuencia;appDecripcion;appUsuario;appFecha;appEstado
1;ENTERPRISE ONE;0;2023-12-23 15:57:00;0
2;JAW;1;2023-12-23 15:57:00;0
3;SAFF;1;2008-05-14 13:22:00;1
4;P0411;1;2008-05-14 13:22:00;1
5;SISTEMA DE MARCACIONES;1;2008-05-19 17:20:00;1
6;JAW FORESTALES;2;2008-06-04 14:27:00;1
7;NEGOCIO DE FRUTA;2;2008-06-04 14:31:00;1
8;SPYRAL;2;2008-06-20 16:52:00;1
9;FACTURACION DE FLETES DE TRANSPORTISTAS (RBP);14;2008-07-31 15:47:00;1
10;INVENTARIO DE EQUIPOS Y RADIOS;7;2008-08-18 16:08:00;1
11;SIFF SISTEMA DE INVENTARIO Y FACTURACION;7;2008-08-18 16:08:00;1
12;CAPA DE TRANSMISIONES;7;2008-08-18 16:09:00;1
13;SABI;3;2008-08-19 16:01:00;1
14;GENERACION MEDIOS MAGNETICOS VB;6;2008-08-20 10:23:00;0
15;GENERACION MEDIOS MAGNETICOS VB;6;2008-08-20 10:25:00;1
16;REPORTES VENTAS VISUAL BASIC;11;2008-08-29 15:37:00;1
17;CONSOLIDADOR;11;2008-08-29 17:39:00;1
18;EMBARQUE - SEFF;11;2008-09-04 10:03:00;0
19;EMBARQUE - SEFF;11;2008-09-04 10:05:00;1
20;PROPLAEX;6;2008-09-22 10:13:00;1
21;INSTALADOR COMPONENTES CRYSTAL 60;7;2008-10-07 16:50:00;0
22;INSTALADOR COMPONENTES CRYSTAL REPORT 60;7;2008-10-07 16:56:00;1
23;WORKFLOW;23;2008-10-17 16:01:00;1
24;BIOMETRICO;25;2008-11-27 16:59:00;0
25;IDEA;6;2009-01-06 11:15:00;1
26;MODIFICACION CUOTAS;6;2009-01-07 16:30:00;1
27;SIREM SISTEMA DE REMUNERACION VARIABLE;10;2009-01-16 19:06:00;1
28;CONSULTA DE DOCUMENTOS DIGITALES;10;2009-01-16 19:07:00;1
29;PORTAFOLIO DE PROYECTOS;23;2009-03-27 11:54:00;1
30;NEWCOA ANEXO TRANSACCIONAL;8;2009-04-15 17:23:00;1
31;COGNOS;15;2009-05-07 10:18:00;1
32;DTS SQL SERVER;14;2009-05-13 09:53:00;1
33;REPORTES DE CUBOS DE VENTAS;12;2009-05-19 12:51:00;1
34;EKSAT - EIKON SISTEMA PARA ALMACEN TEMPORAL FERTISA;23;2009-05-25 14:42:00;1
35;SISTEMA DE TRANSACCIONES WEB PARA EO812;23;2009-07-14 17:34:00;1
36;COMPLECOA CXP;1;2009-07-16 10:33:00;1
37;REMUNERACION VARIABLE;25;2009-07-28 12:31:00;1
38;REPORTE ITEMS;6;2009-08-12 13:38:00;1
39;INTERFAZ JDEdwars;30;2009-09-01 09:08:00;1
40;PRINT QUEUE MONITOR;27;2009-09-02 09:34:00;1
41;SCMI;20;2009-10-07 10:39:00;1
42;REPOTES SALDOS BANCOS VISUAL BASIC;12;2009-10-30 18:14:00;1
43;LEW CALIDAD DE LECHE;7;2010-04-14 17:43:00;1
44;STORED PROCEDURE SQL;21;2010-04-20 16:25:00;1
45;CUBOS DE INFORMACION;1;2010-05-21 15:45:00;1
46;RECUPERACION DE DOCUMENTOS DIGITALES;27;2010-07-09 10:50:00;1
47;SERVICE DESK;25;2010-07-16 16:53:00;1
48;REPORTEADOR BIOMETRICOS CONSOLA DE SEGURIDAD;7;2010-08-24 14:58:00;1
49;RP3 PUNTOS DE VENTA FISAS;14;2010-09-28 15:47:00;1
50;CRYPTO SERVICE;27;2010-11-24 12:08:00;1
51;PORTAL DE INFORMACION;27;2010-11-24 19:14:00;1
52;SINERGIA;14;2010-12-14 16:39:00;1
53;IFC MONITOREO;31;2011-02-04 16:46:00;1
54;SIGW;25;2011-03-04 11:35:00;1
55;CAPA DE SEGURIDADES;7;2011-03-09 15:38:00;0
56;CAPA DE SEGURIDADES;7;2011-03-09 15:39:00;1
57;MIRASILV;15;2011-04-21 15:38:00;1
58;BIOMANAGER;7;2011-06-28 14:33:00;1
59;STW;33;2011-07-04 14:10:00;1
60;Encriptacion STW;33;2011-07-04 14:11:00;1
61;PrintQueueWatcher;33;2011-07-27 12:21:00;1
62;SISTEMA AUTOMATIZADO DE APTITUDES LABORALES (SAAL);30;2011-08-17 15:06:00;1
63;NEW COA (ANDISI);20;2011-09-05 14:54:00;1
64;AISV - EIKON SISTEMA PARA FERTISA;44;2011-12-02 09:25:00;0
65;TARJA - EIKON SISTEMA PARA FERTISA;44;2011-12-02 09:25:00;0
66;AISV - EIKON SISTEMA PARA FERTISA;44;2011-12-02 09:28:00;0
67;AISV - EIKON SISTEMA PARA FERTISA;44;2011-12-02 09:39:00;1
68;TARJA - EIKON SISTEMA PARA FERTISA;44;2011-12-02 09:39:00;1
69;COOPERATIVA;25;2011-12-28 11:15:00;1
70;COOPERATIVA;25;2011-12-28 11:16:00;0
71;FAT (FACTURACION AUTOMATICA TEMPORAL);7;2012-03-22 15:02:00;0
72;FAT(FACTURA AUTOMATICA TEMPORAL);7;2012-03-22 15:02:00;1
73;MANUFACTURA;43;2012-03-30 14:47:00;0
74;MANUFACTURA;43;2012-03-30 14:48:00;1
75;SCRIPT;33;2012-04-03 17:22:00;1
76;QLIKVIEW;14;2012-04-09 10:52:00;1
77;FILE SRI;19;2012-05-14 12:19:00;1
78;DISTRIBUCION CONTABLE NOMINA;25;2012-06-28 11:23:00;1
79;ARCGIS - PUBLICACION DE HACIENDAS;44;2012-07-06 11:47:00;1
80;CUBO BANANERO;20;2012-07-12 13:34:00;1
81;INTRANET SHAREPOINT 2010;47;2012-07-20 16:00:00;1
82;Interface del sistema de pesaje (báscula) a EKSAT y AISV;44;2012-08-09 08:52:00;1
83;REPORTING SERVICES;51;2012-08-14 09:39:00;1
84;SISTEMA PORTUARIO;44;2012-09-18 09:39:00;1
85;SITIO WEB FAVORITAFRUITCOMPANY;47;2012-09-21 15:37:00;1
86;SISTEMA DE FERTILIZANTES;44;2012-09-27 14:43:00;1
87;SITIO WEB LENUTRIT;47;2012-10-10 15:51:00;1
88;CUBO LABORES AGRICOLAS SS2008R2;47;2012-10-17 14:57:00;1
89;AFC (SISTEMA DE COOPERATIVA);7;2013-02-22 18:05:00;1
90;SITIO WEB FERTISA;30;2013-03-06 16:04:00;1
91;SITIO WEB AEROVIC;30;2013-03-06 16:36:00;1
92;EKSAT - EIKON SISTEMA PARA FERTISA;55;2013-04-10 16:12:00;1
93;SKAN - WEB SIGATOKA;52;2013-06-19 17:01:00;1
94;IMPRESION DE ETIQUETAS PTI;33;2013-11-21 11:22:00;1
95;INTERFACE DE INTERESES DE PRESTAMOS;7;2013-12-11 10:32:00;1
96;PORTAL COMPROBANTES-E;33;2014-05-05 09:55:00;1
97;SITIO WEB WWW.MY-FAVORITA.COM;30;2014-06-17 10:57:00;1
98;FILENET;14;2014-07-30 15:05:00;1
99;BAPLIE;59;2014-08-04 16:29:00;1
100;FIRMA ELECTRÓNICA;49;2014-12-02 09:41:00;1
101;BASCULA FERTISA;59;2014-12-04 17:00:00;1
102;Recepcion_edocs;15;2015-03-16 08:43:00;1
103;DEPURADOR DE CORREOS;61;2015-03-17 17:20:00;1
104;Sitio web reybanpac.com;49;2015-07-30 15:32:00;1
105;DINARDAP;14;2015-07-31 11:52:00;1
106;SCP SISTEMA DE CONTROL DE PESAJE DE CAJAS BANDEJAS Y RACIMOS;61;2015-08-21 09:48:00;1
107;SITIOS WEB;15;2015-09-15 17:07:00;1
108;MONITOREO DE SIGATOKA NEGRA;59;2015-10-21 16:19:00;1
109;TABLEROS SMARTVIEW;59;2015-12-07 12:32:00;1
