detIndex;capSecuencia;depTipoObjVer;depCodObjVer;depDesCambio;depJusCambio;depOrigen;depDestino;depCodProv;depDevInt
1;77;O;40411;MEJORA AL REPORTE DE CIERRE DIARIO DE VENTAS POR ERROR ENCONTRADO;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\ACTUALI REP CIERRE VENTAS T38564;\SIFW\REP\;NULL;NULL
1;79;O;40401;SE INCLUYO VALIDACIÓN PARA SELECCIONAR CUENTAS DE PROVEEDORES;NULL;DV810;PD810;NULL;NULL
1;80;O;40412;RECOMPILACION POR CAMBIO DE OLE DE CREDITO;NULL;E3SIS037\PASES2008\PASEVBCEBG-2008-027\;MAQUINA USUARIO\C:\SABI;NULL;NULL
1;82;O;40431;MODIFICACION DE FORMATOS EN EL TXT DE ACUERDO A LO SOLICITADO POR EL BCO. DEL PICHINCHA A TRAVES DE TESORERIA CORPORATIVA;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\PASE HECM-2008-029;RUTA DE INSTALACION ACTUAL DEL USUARIO;NULL;NULL
1;83;O;27992;SE EXCLUYERON LOS DOCUMENTOS MA PARA GENERARA EL ARCHIVO DE PAGOS;NULL;DV810;PD810;NULL;NULL
1;84;O;27992;SE COLOCO EN LOS DESCUENTOS LOS DOCUMENTOS MA;NULL;DV810;PD810;NULL;NULL
1;85;O;40432;SE HIZO UNA MODIFICACION AL PROGRAMA PARA QUE ACCESE A UNA NUEVA TABLA DONDE ESTAN PARAMETRIZADOS LOS TIPOS DE DOCUMENTOS, LAS ICAS  Y LA CUENTAS;NULL;E3SIS037\PASES2008/PASEVBCEBG-2008-032;MAQUINA USUARIO\C:\SABI;NULL;NULL
1;112;V;10187;ELIMINACION EN LA SELECCION DE DATOS DE BODEGAS 23274 - 23281;NULL;DV810;PD810;NULL;NULL
1;113;O;27706;SE ENCERO CAMPO DE TOTALES.;NULL;DV810;PD810;NULL;NULL
1;114;O;40436;SE MODIFICO EL PROCESO PARA QUE NO SE PRESENTEN LAS APLICACIONES DE PAGOS ANULADAS Y LOS COBROS EXCEPCIONADOS.;NULL;DV810;PD810;NULL;NULL
1;115;O;40437;ACTUALIZACION AL REPORTE DE NOMINA DE DESTAJEROS POR HACIENDA;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\ACTUALI_ROL_DE_PAGOS_AGRÍCOLA_T38908;\ JAW \RELEASE\REP;NULL;NULL
1;116;O;27719;SE AMPLIO EN CAMPO ANEXO PARA QUE PUEDA PRESENTAR TODA LA INFORMACION;NULL;DV810;PD810;NULL;NULL
1;117;V;14843;CREACION DE VERSION;NULL;DV810;PD810;NULL;NULL
1;118;O;27624;"SE MODIFICO EL TITULO DEL REPORTE ""REPORTE DE VENTAS PARA ORGANISMO DE CONTROL";NULL;DV810;PD810;NULL;NULL
1;119;O;40439;SE CORRIGIO EN CAMPO UNIDADES LA CANTIDAD DE DECIMALES;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\PASEREPORTE;SRBP00PS01;NULL;NULL
1;122;O;40440;EJECUCION DE NUEVOS STORED PROCEDURES Y OBJETOS;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\PASEVERSIONCONSOLIDADOR-D7395\STOREDPROCEDURE;SRBP00AP01;NULL;NULL
1;124;O;17549;AGREGARON CAMPOS;NULL;DV810;PD810;NULL;NULL
1;125;O;40449;SE CREARON OPCIONES PARA GUIAS DE REMISION;NULL;PASES2008\PASECOCEBG-2008-034\DLL SIFF;DIRECTORIO DE SIFF EN LA MAQUINA DE USUARIOS;NULL;NULL
1;126;O;40452;SE CAMBIÓ TÍTULO DE DEFINICIÓN;NULL;\\E3SIS017\PASENEFF2\;DIRECTORIO NEF\XMLS\ DENTRO DE WEBAPPS EN EL TOMCAT DEL SRBP00WF01;NULL;NULL
1;127;O;40382;SE TOMA EL CAMPO V_LFCODBUQ DE LA TABLA NF_VIAJE_CAB;NULL;\\E3SIS017\PASENEFF2\;BASE DE DATOS NEFF;NULL;NULL
1;128;O;40350;INCLUIR JSP PARA TOMAR EL USERNAME DE LA SESION;NULL;\\E3SIS017\PASENEFF2\;DIRECTORIO NEF/ DENTRO DE WEBAPPS EN EL TOMCAT DEL SRBP00WF01;NULL;NULL
1;129;O;40350;INCLUIR JSP PARA TOMAR EL USERNAME DE LA SESION;NULL;\\E3SIS017\PASENEFF2\;DIRECTORIO NEF/ DENTRO DE WEBAPPS EN EL TOMCAT DEL SRBP00WF01;NULL;NULL
1;130;O;40383;DIRECCIONAR CORRECTAMENTE EL ARCHIVO;NULL;\\E3SIS017\PASENEFF2\;DIRECTORIO NEF/JSP/ DENTRO DE WEBAPPS EN EL TOMCAT DEL SRBP00WF01;NULL;NULL
1;131;O;40453;CREACION DE NUEVO FORMATO EN BLANCO PARA LAS NC MANUALES;NULL;DV810;PD810;NULL;NULL
1;132;O;40456;SE VALIDA EL PROCESO PARA QUE VALIDE EL NUMERO DE LA EVALUACION;NULL;SRBP00CP00;SRBP00DB02;NULL;NULL
1;133;O;40458;SE REALIZO LA VALIDACION PARA EL TAMÑAO DE DIGITOS EN LA EVALUACION;NULL;SRBP00CP00;SRBP00DB02;NULL;NULL
1;134;O;40350;INCLUIR JSP PARA TOMAR USERNAME DE LA SESION;NULL;\\E3SIS017\PASENEFF2\;DIRECTORIO NEF/ DENTRO DE WEBAPPS EN EL TOMCAT DEL SRBP00WF01;NULL;NULL
1;135;O;40350;CAMBIAR CONFIGURACION DE TIPO DE ENVIO;NULL;\\E3SIS017\PASENEFF2\;DIRECTORIO NEF\NEF2\MODULES\PREASIGNACION_CUPOS\ DENTRO DE WEBAPPS EN EL TOMCAT DEL SRBP00WF01;NULL;NULL
1;136;O;40350;INCLUIR JSP DE USERNAME;NULL;\\E3SIS017\PASENEFF2\;DIRECTORIO NEF/ DENTRO DE WEBAPPS EN EL TOMCAT DEL SRBP00WF01;NULL;NULL
1;137;O;17487;SE MODIFICO EL INDICE F5503COB_PK, SE INCREMENTO EL CAMPO RCSEQU;NULL;E3SIS039\PASE DE VERSION\MELN-2008-041;PD810;NULL;NULL
1;138;O;40350;INCLUIR JSP DE USERNAME;NULL;\\E3SIS017\PASENEFF2\;DIRECTORIO NEF/ DENTRO DE WEBAPPS EN EL TOMCAT DEL SRBP00WF01;NULL;NULL
1;139;O;40388;"SE AGREGO NUEVAS SECCIONES ""REEMBOLSO DE MATERIAL"", ""TOTAL INGRESOS"" EN REPORTE DE ACUERDO A ESPECIFICACION ADJUNTA";NULL;DV810;PD810;NULL;NULL
1;140;O;40391;SE MODIFICO PARA PODER EMITIR LOS ESTADO DE CUENTA POR ZONA;NULL;DV810;PD810;NULL;NULL
1;141;O;40350;INCLUIR JSP DE USERNAME;NULL;\\E3SIS017\PASENEFF2\;DIRECTORIO NEF/ DENTRO DE WEBAPPS EN EL TOMCAT DEL SRBP00WF01;NULL;NULL
1;142;O;40350;INCLUIR JSP DE USERNAME;NULL;\\E3SIS017\PASENEFF2\;DIRECTORIO NEF/ DENTRO DE WEBAPPS EN EL TOMCAT DEL SRBP00WF01;NULL;NULL
1;143;O;40350;INCLUIR JSP DE USERNAME;NULL;\\E3SIS017\PASENEFF2\;DIRECTORIO NEF/ DENTRO DE WEBAPPS EN EL TOMCAT DEL SRBP00WF01;NULL;NULL
1;144;O;40466;SE VALIDO EL NUMERO DE EVALUACION SEA MAX. 10 CARACTERES;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\PASEVERSIOTICKET39691C;ICA - PC LOCALES;NULL;NULL
1;145;O;40350;INCLUIR JSP DE USERNAME;NULL;\\E3SIS017\PASENEFF2\;DIRECTORIO NEF/ DENTRO DE WEBAPPS EN EL TOMCAT DEL SRBP00WF01;NULL;NULL
1;146;O;40350;QUITAR PROMPT;NULL;\\E3SIS017\PASENEFF2\;DIRECTORIO NEF/ DENTRO DE WEBAPPS EN EL TOMCAT DEL SRBP00WF01;NULL;NULL
1;147;V;14850;VERSION PARA LOS PROVEEDORES DESDE WEB, VALIDA QUE UN PROVEEDOR NO PUEDA VER LA ORDEN DE COMPRA DE OTRO PROVEEDOR;NULL;DV810;PD810 - JPD810;NULL;NULL
1;148;O;40471;SE MODIFICO EL PROCESO DE VERIFICACION DE LA CEDULA DE LOS TRABAJADORES PARA QUE TOME EN CONSIDERACION LAS NUEVAS PROVINCIAS SANTO DOMINGO Y SANTA ELENA;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\ACTUALI CEDULA T39902;"SRBP00DB02\GWSISREY ; SRBP00DB01\GWSISREY";NULL;NULL
1;149;O;27624;CAMBIO DE TIPO DE FONT Y TAMAÑO EN TOTAL GENERAL PARA QUE SE PUEDAN VER CANTIDADES HASTA DE 12 DIGITOS;NULL;DV810;PD810;NULL;NULL
1;150;O;40472;PROCESO DE MIGRACION DE LAS MARCACIONES DE LOS BIOMETRICOS AL SISTEMA DE CONTROL DE ASISTENCIA;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\ACTUALI_BIOMETRICOS_FERTISA;SFER00AP02\GWSISREY;NULL;NULL
1;151;O;40473;SE AGREGO OC INVERSAS DE EXPORTADORA A COMERCIALIZADORA;NULL;COPIAR *.DLL Y *.PNL E3SIS037\PASES2008\PASECOCEBG-2008-035\DLLS;DIRECTORIO DE LA APLICACION DE SEFF;NULL;NULL
1;152;O;40475;CAMBIO DE VARIABLE CON TIPO DE DATO LONG PARA QUE CONTENGA NUMEROS GRANDES;NULL;\\SRBP00CP00\PROPLAEX\PROPLAEX\PASE HECM-2008-0035;\\SEXP00AP01\PROPLAEX\PROPLAEX\;NULL;NULL
1;153;O;40476;SE COMPILO LA FUNCION QUE LLAMA LA COMPAÑIA RELACIONADA;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\CONTROLEMBARQUET.40237;ICA - PC USUARIOS;NULL;NULL
1;155;O;40464;SE MODIFICO PARA QUE LAS PANTALLAS SELECCIONE LAS CIA RELACIONADAS;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\EMBARQUECIARELACIONADA;ICA - PC USUARIO;NULL;NULL
1;156;O;40464;SE MODIFICO EL CAMPO PARA QUE PERMITA INGRESAR EL SUBGUION;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\EMBARQUENUMPLACA;ICA - PC USUARIO;NULL;NULL
1;157;O;27461;CONSIDERACION DE LAS O/C DE EXPORTADORA A COMERCIALIZADORA;NULL;DV810;PD810;NULL;NULL
1;158;O;16858;ACTUALIZACION DE CAMPOS E INDICES;NULL;DV810;PD810;NULL;NULL
1;159;O;24118;ESCOGER UDC CORRECTA;NULL;DV810;PD810;NULL;NULL
1;160;O;16812;CREACIÓN DE NUEVO ÍNDICE F4111_13 TABLA F4111;NULL;DV810;PD810;NULL;NULL
1;161;O;40350;INCLUIR ARCHIVO USERNAME;NULL;\\E3SIS017\PASENEFF2\;DIRECTORIO NEF DENTRO DE WEBAPPS EN EL TOMCAT DEL SRBP00WF01;NULL;NULL
1;162;O;16812;CREACION INDICE F4111_13;NULL;DV810;PD810;NULL;NULL
1;163;O;40388;SE INLCUYÓ SUMA ALGEBRAICA DE INGRESOS Y EGRESOS EN LIQUIDACION DE FRUTA;NULL;DV810;PD810;NULL;NULL
1;164;V;14874;CORRECCION PARA AREAS FISCALES DE CETRAS;NULL;DV810;PD810;NULL;NULL
1;165;O;23505;CONTROLAR VALIDACION DE SUCURSAL PLANTA;NULL;DV810;PD810;NULL;NULL
1;166;O;17642;AGREGAR INDICE NUEVO QUE TENGA EL CODIGO DEL SISTEMA;NULL;DV810;PD810;NULL;NULL
1;167;O;40450;REVISION DE LAS GUIAS DE REMISION;NULL;\\E3SIS07\PASES2008\PASECOCEBG-2008-037\;DIRECTORIO DE SIFF EN CADA PUNTO;NULL;NULL
1;168;V;10865;MODIFICAR EL PROCESO DE ACTUALIZACION DEL CAMPO OC RELACIONADA (VER01) PARA QUE SE GRABE EN TODAS LAS ORDENES PROCESADAS POR NUMERO DE DOCUMENTO;NULL;DV810;PD810;NULL;NULL
1;169;O;27629;SE PUSO EN UNA NUEVA SECCIÓN BARRIDO DE TABLA F5541087 POR CIA/LIQ/NRO COMERCIALIZADOR;NULL;DV810;PD810;NULL;NULL
1;170;O;40432;SE MODIFICÓ PARA QUE TOME LA SECUENCIA CORRECTA PARA EO AL MIGRAR CUANDO CRÉDITOS TIENEN MÁS DE 365 DOCUMENTOS;NULL;C:\PASES DE VERSION\PMJR-2008-0007\CRPY0913.EXE;NULL;NULL;NULL
1;171;O;40449;SE MODIFICO APLICACION DE NOTA DE CREDITO Y FACTURA;NULL;\\SRBP00CP00\D$\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\ACTUALI_8305_FACT_NC_CONSUMIDOR_FINAL\DLL;\SIFW\RELEASE;NULL;NULL
1;172;O;24118;SE INCLUYO UN DELETE PARA ELIMINAR REGISTROS;NULL;DV810;PD810;NULL;NULL
1;173;O;40432;SE MODIFICÓ PARA QUE DEJE CORRECTAMENTE LAS FECHA DE CONTABILIZACIÓN CUANDO TIPO DE CREDITO = 98;NULL;C:\PASES DE VERSION\PMJR-2008-0008;C:\SABI DEL USUARIO;NULL;NULL
1;174;O;40459;TOMAR CAMPO DE CALIDAD CORRECTAMENTE;NULL;\\E3SIS017\PASENEFF2\MODULES\CONSULTA_CARTA_CORTE;DIRECTORIO NEF/NEFF2/MODULES/CONSULTA_CARTA_CORTE/ DENTRO DE WEBAPPS EN EL TOMCAT DEL SRBP00WF01;NULL;NULL
1;176;O;40497;SE MODIFICO EL PROCESO DE CALCULO DE VACACIONES PARA EN LA LIQUIDACION DE HABERES PARA QUE CALCULE CORRECTAMENTE LOS DIAS DE VACACIONES PARA LAS PERSONAS QUE SALEN EN EL MISMO MES EN EL QUE CUMPLEN VACACIONES;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\ACTUALI_CALCULO_VACACIONES_T39312;SRBP00AP01\SPYRAL_PRDCCN_01;NULL;NULL
1;177;V;10805;MODIFICACION A ESTADO INICIAL EN LA OPCION DE PROCESO A ESTADO 620;NULL;DV810;PD810;NULL;NULL
1;178;O;27059;VALIDACION PARA QUE LOS TIPOS DE DOCUMENTOS PARA EL SRI PRESENTE TAMBIEN RESUMIDO POR EXPORTADORES EN BASE AL CAMPO DE MANEJO ESPECIAL EN LA UDC 55HC;NULL;DV810;PD810;NULL;NULL
1;179;O;40456;SE INCLUYÓ TABLA TEMPPRORRATEO QUE CONTIENE PORCENTAJE PRORATEADO CUANDO ING.CAMIÓN TIENE MÁS DE 1 TARJA ADEMÁS SE INCLUYÓ EN EL CURSOR AJUSTE POR DIFERENCIA EN CAJAS ARRIBADAS;NULL;SERVIDOR: SRBP00PS00  BD: JDECRP;SERVIDOR: SRBP00DB02  BD:GWSISREY;NULL;NULL
1;180;O;40498;"CORRECCION EN LA ACTIVIDAD ""REGISTRA_LOG"" YA QUE EN UNA DEVOLUCION TOMABA EL VALOR DE LA PRIMERA DECISION DEL ULTIMO APROBADOR, Y NO LA ULTIMA DECISION";NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\WORKFLOW\ADMINISTRACIÓN\2008-10-17_FIX_LOG_SOLICITUD_VEHÍCULOS;"SRBP00WF01:WORKFLOW\DISENOS_ADMIN.NSF;";NULL;NULL
1;181;O;40432;SE  ACTUALIZA MARCA IN_EMBQ CON M PARA SABER CUANDO YA ESTA MIGRADO Y NO VOLVERLOS A MIGAR;NULL;E3SIS002\PASES DE VERSION\PMJR-2008-0010;MAQÚINAS DE LOS USUARIOS;NULL;NULL
1;183;O;23505;REUBICACION DE ACTUALIZACION DE AREAS FISCALES PARA QUE NO SE INHIBA;NULL;DV810;PD810;NULL;NULL
1;184;O;40456;SE MODIFICÓ PARA QUE TOME SERVIDOR SRBP00AP01 EN EJECUCIÓN QUERYS;NULL;E3SIS002\PASES VERSION\PMJR-2008-0012;SERVIDOR SBP00DB02 BD GWSISREY;NULL;NULL
1;185;O;40449;TOMAR FECHAS DE CONTABILIZACION DE INVENTARIOS;NULL;E3SIS037\PASES2008\PASECOCEBG-2008-034\DLL SIFF\;DIRECTORIO DE SIFF EN LOS PUNTOS;NULL;NULL
1;186;O;40452;CORREGIR DEFINICION DE CARTA DE CORTE;NULL;\\E3SIS017\PASENEFF2\;DIRECTORIO NEF/XMLS/ DENTRO DE WEBAPPS EN EL TOMCAT DEL SRBP00WF01;NULL;NULL
1;187;O;27696;"SE AGREGO VALIDACION POR TIPO EL NUMERO DE IDENTIFICACION SI ES CEDULA (10) SE INCLUIRIA EN EL NOMBRE DEL CLIENTE AL FINAL LA PALABRA "" - CONSUMIDOR FINAL""";NULL;DV810;PD810;NULL;NULL
1;188;O;40439;MODIFICACION DE SP POR PROBLEMA DE DUPLICACION. SE INCLUYO VALIDACION PARA QUE CONSIDERE # DE LINEA EN MATCH.;NULL;\\SRBP00CP00\MDGRP_GRWONG\MDSEGURIDAD\PASES_VERSION\PASE HECM-2008-037;SRBP00PS01.JDE_PRODUCTION;NULL;NULL
1;189;O;40382;SCRIPT CREACION TABLA DE HOMOLOGACION;NULL;\\E3SIS017\PASENEFF2\;BASE NEFF SERVIDOR SRBP00DB03;NULL;NULL
1;190;O;27696;QUITAR DESCRIPCION EN CLIENTE DE CONSUMIDOR FINAL;NULL;DV810;PD810;NULL;NULL
1;191;O;27952;SE MODIFICO EL PROCESO PARA CAPTURAR EL NUMERO DE BATCH DE LA INTERFACE DE COMPRAS;NULL;DV810;PD810;NULL;NULL
1;192;O;40388;CALCULO AL TOTAL DE DESCUENTOS;NULL;DV810;PD810;NULL;NULL
1;193;O;40382;CREACION DE TABLAS;NULL;\\E3SIS017\PASENEFF3\BASES;BASE DE DATOS NEFF SERVIDOR SRBP00DB03;NULL;NULL
1;194;O;17733;SE MODIFICÓ EL ÍNDICE PRINCIPAL, AL CUAL SE LE AÑADIÓ AL FINAL LOS SIGUIENTES CAMPOS.;NULL;DV810;PD810;NULL;NULL
1;195;V;14884;NUEVA VERSION POR TIPO DE ORDEN;NULL;DV810;PD810;NULL;NULL
1;196;V;14868;SE AÑADIO UNA LINEA EN LA SELECCION DE DATOS QUE VALIDA LOS TIPOS DE LINEA S1;NULL;DV810;PD810;NULL;NULL
1;197;O;40533;NUEVO;NULL;DV810;PD810;NULL;NULL
1;198;O;40397;SE INCLUYO LA COMPAÑÍA DEL ESQUEMA DE LIQUIDACION;NULL;DV810;PD810;NULL;NULL
1;199;O;25917;SE CREO VERSION NUEVA PARA ESTE OBJETO;NULL;DV810;PD810;NULL;NULL
1;200;O;40536;NO MUESTRE LAS BODEGAS POR EL CODIGO DEL LIBRO DE DIRECCIONES NI LAS ORDENES ANULADAS;NULL;DV810;PD810;NULL;NULL
1;201;O;26984;MODIFICACION DE LA VERSION;NULL;DV810;PD810;NULL;NULL
1;202;O;40533;SE MODIFICO EL SALTO DE PAGINA Y LA LEYENDA APROBADO;NULL;DV810;PD810;NULL;NULL
1;204;O;27515;CAMBIO DE FORMATO SEGUN REQUERIMIENTO DEL PROYECTO;NULL;DV810;PD810;NULL;NULL
1;205;V;10204;VERSIÓN Z5541043  (EFF 1) AÑADIR 6482003;NULL;DV810;PD810;NULL;NULL
