OBJETOS;NOMBRE DEL OBJETO;MÓDULO;NOMBRE DEL MÓDULO;ESSU
B0000122;Post To F0902;0;Prog codif productos/sistema;ESU JL18946
B0001026;Retrieve Job Cost Constants;0;Prog codif productos/sistema;ESU JL18946
B1700280;Format and Edit Time;0;Prog codif productos/sistema;ESU JL18379
B4000350;Retrieve Distribution AAI;0;Prog codif productos/sistema;ESU  JL20702
D0000122;Post To F0902;0;Prog codif productos/sistema;ESU JL18946
D0001026;Retrieve Job Cost Constants;0;Prog codif productos/sistema;ESU JL18946
N4002371;F4096 Build Flexible Account with Cache;0;Prog codif productos/sistema;ESU  JL19248
P40296;Flexible Sales Accounting;0;Prog codif productos/sistema;ESU JL18379
P40950;Distribution AAIs;0;Prog codif productos/sistema;ESU JL18379
P48201;Work With Work Orders;0;Prog codif productos/sistema;ESU JL18379
R00993;Create F43199 Commitment Audit Trail;0;Prog codif productos/sistema;ESU  JL20702
T40950;Distribution AAIs;0;Prog codif productos/sistema;ESU JL18379
B0900143;Delete F0911 Records;9;Contabilidad;ESU JL18946
R09801;General Ledger Post;9;"Contabilidad ";ESU JL18946
D1300640;Fetch Hours Worked From F06116;13;Admón de planta y equipo;ESU  JL20702
D1300650;Fetch Hours Worked From F0618;13;Admón de planta y equipo;ESU  JL20702
N1300640;Fetch Hours Worked From F06116;13;Admón de planta y equipo;ESU  JL20702
N1300650;Fetch Hours Worked From F0618;13;Admón de planta y equipo;ESU  JL20702
P13714;CAM - Manage Equipment Work Orders;13;Admón de planta y equipo;ESU JL18379
P13730;CAM - Manage Work Order Parts;13;Admón de planta y equipo;ESU  JL20702
R13800;Update W.O. Actual Amounts;13;Admón de planta y equipo;ESU  JL20702
V4801JC;Work Order Parts List F4801/F3111;13;Admón de planta y equipo;ESU  JL19248
B1702750;SWM Advanced Pricing Labor Edits;17;Admón de servicios al cliente;ESU JL18379
B1703140;Retrieve P17732 Processing Options;17;Admón de servicios al cliente;ESU JL18379
D1701590;Update Customer Information Parts & Routings;17;Admón de servicios al cliente;ESU JL18379
D1703140;Retrieve P17732 Processing Options;17;Admón de servicios al cliente;ESU JL18379
F3111Z2;Warranty Claim/Supplier Recovery processing;17;Admón de servicios al cliente;ESU JL18379
F4801Z2;Warranty Claim/Supplier Recovery processing;17;Admón de servicios al cliente;ESU JL18379
N1700400;F31171 Process Master Data;17;Admón de servicios al cliente;ESU JL18379
N1701590;Update Customer Information - Parts & Routings;17;Admón de servicios al cliente;ESU JL18379
P17714;Work Order Revisions;17;Admón de servicios al cliente;ESU JL18379
P17730;Work Order Parts Detail;17;Admón de servicios al cliente;ESU JL18379
P17732;Work Order Labor Detail;17;Admón de servicios al cliente;ESU JL18379
P17767;Failure Analysis;17;Admón de servicios al cliente;ESU JL18379
T17730;Work Order Parts Detail;17;Admón de servicios al cliente;ESU JL18379
B3003081;Find and Load BOM Revision Level;30;Admón de datos del producto;ESU  JL20702
B3003090;F3002 Load Next BOM Level;30;Admón de datos del producto;ESU  JL20702
D3003081;Find and Load BOM Revision Level;30;Admón de datos del producto;ESU  JL20702
F30UI014;BOM Header Work File for BI;30;Admón de datos del producto;ESU  JL20702
F30UI015;BOM Item Fact Work File for BI;30;Admón de datos del producto;ESU  JL20702
F30UI016;BOM Explosion Work File for BI;30;Admón de datos del producto;ESU  JL20702
R30461;Multi Level BOM Explosion for BI;30;Admón de datos del producto;ESU  JL20702
B3100670;Allocate By Location;31;Control de planta;ESU JL18379
B3100680;Allocate By Lot Number / Lot Expiration Date;31;Control de planta;ESU JL18379
B3100770;Work Order Completions MBF;31;Control de planta;ESU JL18379
B3101130;CacheCalculateIssueQuantity;31;Control de planta;ESU JL18379
B3101250;F3112 Work Order Routings Master Business Function;31;Control de planta;ESU  JL20702
B3101260;F3111 Parts List Master Business Function;31;Control de planta;ESU  JL20702
B3101570;Cache Co/By Product Completion;31;Control de planta;ESU  JL19248
B3101600;Cache Parts List;31;Control de planta;ESU JL18379
B3101630;F3102 Variance Cache;31;Control de planta;ESU  JL20702
B3102080;Co_By Completions MBF;31;Control de planta;ESU  JL19248
B3102270;Work Order Issues Master Business Function;31;Control de planta;ESU  JL20702
B3102380;Work Order Routing Puchase Order Source File;31;Control de planta;ESU  JL20702
B3103120;SO Detail Cache;31;Control de planta;ESU JL18379
B3104480;Kanban Transfer Order Processing;31;Control de planta;ESU  JL19248
B3105510;Get Last CPNB for MFG Order;31;Control de planta;ESU  JL19248
D3101130;Cache, Calculate Issue Quantity;31;Control de planta;ESU JL18379
D3101250C;F3112EditDoc;31;Control de planta;ESU  JL20702
D3101250D;F3112EndDoc;31;Control de planta;ESU  JL20702
D3101250E;F3112RetrieveCacheRow;31;Control de planta;ESU JL18379
D3101570;Cache Co/By Product Completion;31;Control de planta;ESU  JL19248
D3101600;Cache,Parts List;31;Control de planta;ESU JL18379
D3101850A;Kanban Purchase Order Entry Process;31;Control de planta;ESU  JL19248
D3101860A;Kanban Confirm Shipment;31;Control de planta;ESU  JL19248
D3102150;Completed Item Cost Calculation;31;Control de planta;ESU JL18379
D3102160;Calculate Extra Costs;31;Control de planta;ESU JL18379
D3102170;F3102 Calculate Material Costs;31;Control de planta;ESU  JL20702
D3102180;Calculate Routing Costs;31;Control de planta;ESU  JL20702
D3102270C;F3111 WO Issues Edit Document;31;Control de planta;ESU JL18379
D3103030;F3102 File Server Data Structure;31;Control de planta;ESU  JL20702
D3103060;Revalue Inventory After Actual Cost Calculation;31;Control de planta;ESU  JL20702
D3104480A;Kanban Transfer Order Processing;31;Control de planta;ESU  JL19248
N3101610;Cache WO Commitments;31;Control de planta;ESU JL18379
N3101780;Kanban Processing;31;Control de planta;ESU  JL19248
N3101850;Kanban Purchase Order Processing;31;Control de planta;ESU  JL19248
N3101860;Kanban Confirm Shipment;31;Control de planta;ESU  JL19248
N3102150;Completed Item Cost Calculation;31;Control de planta;ESU  JL20702
N3102160;Calculate Extra Costs;31;Control de planta;ESU JL18379
N3102170;F3102 Calculate Material Costs;31;Control de planta;ESU  JL20702
N3102180;Calculate F3102 Routing Costs;31;Control de planta;ESU  JL20702
N3103030;F3102 File Server;31;Control de planta;ESU  JL20702
N3103060;Revalue Inventory After Actual Cost Calculation;31;Control de planta;ESU  JL20702
P3111;Work Order Parts List;31;Control de planta;ESU JL18379
P31113;Work Order Inventory Issues;31;Control de planta;ESU  JL20702
P31114;Work Order Completions;31;Control de planta;ESU  JL19248
P31115;Co/By Product Completion Window;31;Control de planta;ESU  JL19248
