OBJETOS;MÓDULO;Area;ESU
B0000122;00;NULL;ESU JL18946
B0001026;00;NULL;ESU JL18946
B0900143;09;CONTABILIDAD;ESU JL18946
B3003081;30;NULL;ESU  JL20702
B3003090;30;NULL;ESU  JL20702
B3101250;31;NULL;ESU  JL20702
B3101260;31;NULL;ESU  JL20702
B3101570;31;NULL;ESU  JL19248
B3101630;31;NULL;ESU  JL20702
B3102080;31;NULL;ESU  JL19248
B3102270;31;NULL;ESU  JL19248
B3102270;31;NULL;ESU  JL20702
B3102380;31;NULL;ESU  JL20702
B3104480;31;NULL;ESU  JL19248
B3105510;31;NULL;ESU  JL19248
B31P0030;31;NULL;ESU  JL20702
B3202850;32;NULL;ESU  JL19248
B3400370;34;NULL;ESU  JL19248
B3400390;34;NULL;ESU  JL19248
B3400420;34;NULL;ESU  JL19248
B3400440;34;NULL;ESU  JL19248
B3400470;34;NULL;ESU  JL19248
B3400480;34;NULL;ESU  JL19248
B3400500;34;NULL;ESU  JL19248
B3401360;34;NULL;ESU  JL19248
B3401360;34;NULL;ESU  JL20702
B3401720;34;NULL;ESU  JL19248
B34A2400;34;NULL;ESU  JL20702
B4000350;40;NULL;ESU  JL20702
B4003100;40;NULL;ESU  JL19248
B4100380;41;INVENTARIOS;ESU  JL19248
B4200010;42;VENTAS;ESU  JL19248
B4200225;42;VENTAS;ESU  JL19248
B4200310;42;VENTAS;ESU  JL19248
B4200311;42;VENTAS;ESU  JL19248
B4200380;42;VENTAS;ESU  JL19423
B4200450;42;VENTAS;ESU  JL19423
B4200520;42;VENTAS;ESU  JL19248
B4200793;42;VENTAS;ESU  JL19248
B4200810;42;VENTAS;ESU  JL19248
B4200810;42;VENTAS;ESU JL22057
B4200820;42;VENTAS;ESU  JL19423
B4200850;42;VENTAS;ESU  JL19423
B4201070;42;VENTAS;ESU  JL19248
B4201170;42;VENTAS;ESU  JL19248
B4201250;42;VENTAS;ESU  JL19248
B4201250;42;VENTAS;ESU JL22057
B4201270;42;VENTAS;ESU  JL19248
B4201310;42;VENTAS;ESU  JL19248
B4201310;42;VENTAS;ESU  JL20702
B4202320;42;VENTAS;ESU  JL19248
B4202330;42;VENTAS;ESU  JL19248
B4202420;42;VENTAS;ESU  JL19248
B4205120;42;VENTAS;ESU  JL19248
B4205130;42;VENTAS;ESU  JL19248
B4205210;42;VENTAS;ESU  JL19248
B4205230;42;VENTAS;ESU  JL19423
B4205305;42;VENTAS;ESU JL22057
B4208020;42;VENTAS;ESU  JL19248
B4208360;42;VENTAS;ESU  JL19423
B4210000;42;VENTAS;ESU  JL19248
B4210010;42;VENTAS;ESU  JL19248
B4210020;42;VENTAS;ESU  JL19248
B4210030;42;VENTAS;ESU  JL19248
B4210050;42;VENTAS;ESU  JL19248
B4210670;42;VENTAS;ESU  JL19248
B4210900;42;VENTAS;ESU  JL19248
B4219030;42;VENTAS;ESU  JL19248
B4280060;42;VENTAS;ESU  JL19248
B4280070;42;VENTAS;ESU  JL19248
B4280080;42;VENTAS;ESU  JL19248
B4280090;42;VENTAS;ESU  JL19248
B4280100;42;VENTAS;ESU  JL19248
B4280110;42;VENTAS;ESU  JL19248
B4280120;42;VENTAS;ESU  JL19248
B4280130;42;VENTAS;ESU  JL19248
B4300100;43;COMPRAS;ESU  JL19248
B4300420;43;COMPRAS;ESU  JL19423
B4300420;43;COMPRAS;ESU JL18946
B4300520;43;COMPRAS;ESU  JL19248
B4300690;43;COMPRAS;ESU  JL19423
B4300690;43;COMPRAS;ESU  JL20702
B4301050;43;COMPRAS;ESU  JL19423
B4301640;43;COMPRAS;ESU  JL19423
B4301640;43;COMPRAS;ESU JL22057
B4301712;43;COMPRAS;ESU  JL20702
B4302180;43;COMPRAS;ESU  JL19248
B4302570;43;COMPRAS;ESU  JL19248
B4305310;43;COMPRAS;ESU  JL19423
B4305310;43;COMPRAS;ESU JL22057
B4305610;43;COMPRAS;ESU  JL19248
B4500251;45;NULL;ESU  JL19423
B4500541;45;NULL;ESU  JL19248
B4500542;45;NULL;ESU  JL19248
B4700200;47;NULL;ESU  JL19248
B49T0850;49;NULL;ESU  JL19248
D0000122;00;NULL;ESU JL18946
D0001026;00;NULL;ESU JL18946
D1300640;13;NULL;ESU  JL20702
D1300650;13;NULL;ESU  JL20702
D3003081;30;NULL;ESU  JL20702
D3101250C;31;NULL;ESU  JL20702
D3101250D;31;NULL;ESU  JL20702
D3101570;31;NULL;ESU  JL19248
D3101850A;31;NULL;ESU  JL19248
D3101860A;31;NULL;ESU  JL19248
D3102170;31;NULL;ESU  JL20702
D3102180;31;NULL;ESU  JL20702
D3103030;31;NULL;ESU  JL20702
D3103060;31;NULL;ESU  JL20702
D3104480A;31;NULL;ESU  JL19248
D31P0520A;31;NULL;ESU  JL20702
