parSecuencia;parTipo;parDescripcion;parEstado
1;PRI;ALTA;1
2;PRI;MEDIA;1
3;PRI;BAJA;1
4;REQ;NUEVO;1
5;REQ;ACTUALIZACION;1
6;REQ;SOLUCION AL PROBLEMA;1
7;LOC;EDIFICIO;1
8;LOC;EXTERIOR;1
9;SDE;SRBP00PS00;1
10;SDE;SRBP00CP00;1
11;SPR;SRBP00PS01;0
12;SPR;SRBP00AP01;1
13;LOC;TODAS;1
14;SPR;SRBP00DB01;1
15;SPR;TODOS LOS SERVIDORES;1
16;TPA;POR CASO;1
17;TPA;POR PROYECTO;1
18;OBJ;BUSINESS FUNCTION LIBRARY;1
19;OBJ;DATA STRUCTURE;1
20;OBJ;TABLE;1
21;OBJ;GENERIC TEXT / MEDIA OBJECTS;1
22;OBJ;UBE / REPORT;1
23;OBJ;BUSINESS VIEW;1
24;OBJ;APLICATION;1
25;OBJ;BUSINESS FUNCTION;1
26;OBJ;NULL;1
27;SDE;SRBP00BI02\BI2005;0
28;SPR;SRBP00BI02\BI2005;1
29;SPR;SRBP00WF01;1
30;SPR;SRBP00DB01;1
31;SDE;SRBP00VS00;1
32;SPR;SRBP00DB02;1
33;SPR;SFER00AP02;1
34;REQ;SOLICITUD DE IMPLEMENTACIÓN;1
35;SPR;SEXP00AP01;0
36;LOC;EXPOPLAST;1
37;SDE;SRBP00WF00;1
38;SPR;SRBP00DB03;1
39;SPR;SRBP00CM08;0
40;SDE;SRBP00EO00;1
41;SPR;SRBP00EODB;0
42;SPR;SRBP00PS02 - PANAMA;1
43;SPR;SRBP00AP03;1
44;SDE;SRBP00PV00;1
45;SDE;E3SVIR003;1
46;SDE;SRBP00EO03;0
47;SPR;SRBP00EO03;0
48;LOC;FERTISA;1
49;SDE;SRBP00EO15;1
50;SDE;SRBP00CM03;1
51;SPR;SRBP00CM03;0
52;SDE;E3SIS004;1
53;SPR;SRBP00WS02;1
54;SPR;SRBP00DB01;1
55;SPR;SRBP00EO04;0
