usuSecuencia;NIV_NIVEL1;NIV_NIVEL2;NIV_NIVEL3;NIV_NIVEL4
9;1;0;0;0
9;1;7;0;0
9;5;0;0;0
9;7;0;0;0
9;8;0;0;0
27;1;0;0;0
27;1;2;0;0
27;1;3;0;0
27;1;4;0;0
27;1;5;0;0
27;1;6;0;0
26;1;0;0;0
26;1;7;0;0
26;5;0;0;0
26;7;0;0;0
20;1;0;0;0
10;1;0;0;0
10;1;2;0;0
10;1;3;0;0
10;1;4;0;0
10;1;5;0;0
10;1;6;0;0
10;1;7;0;0
10;4;0;0;0
10;7;0;0;0
10;8;0;0;0
56;1;0;0;0
56;1;2;0;0
56;1;3;0;0
56;1;4;0;0
56;1;5;0;0
56;1;6;0;0
56;1;7;0;0
56;2;0;0;0
56;7;0;0;0
56;8;0;0;0
11;1;0;0;0
11;1;2;0;0
11;1;3;0;0
11;1;4;0;0
11;1;5;0;0
11;1;6;0;0
11;1;7;0;0
11;2;0;0;0
11;7;0;0;0
11;8;0;0;0
6;1;0;0;0
6;1;2;0;0
6;1;3;0;0
6;1;4;0;0
6;1;5;0;0
6;1;6;0;0
6;1;7;0;0
6;2;0;0;0
6;7;0;0;0
6;8;0;0;0
1;1;0;0;0
1;1;2;0;0
1;1;3;0;0
1;1;4;0;0
1;1;5;0;0
1;1;6;0;0
1;1;7;0;0
1;2;0;0;0
1;7;0;0;0
1;8;0;0;0
3;1;0;0;0
3;1;2;0;0
3;1;3;0;0
3;1;4;0;0
3;1;5;0;0
3;1;6;0;0
3;1;7;0;0
3;2;0;0;0
3;7;0;0;0
3;8;0;0;0
7;1;0;0;0
7;1;2;0;0
7;1;3;0;0
7;1;4;0;0
7;1;5;0;0
7;1;6;0;0
7;1;7;0;0
7;2;0;0;0
7;7;0;0;0
7;8;0;0;0
12;1;0;0;0
12;1;2;0;0
12;1;3;0;0
12;1;4;0;0
12;1;5;0;0
12;1;6;0;0
12;1;7;0;0
12;2;0;0;0
12;7;0;0;0
12;8;0;0;0
13;1;0;0;0
13;1;2;0;0
13;1;3;0;0
13;1;4;0;0
13;1;5;0;0
13;1;6;0;0
13;1;7;0;0
13;2;0;0;0
13;7;0;0;0
13;8;0;0;0
14;1;0;0;0
14;1;2;0;0
14;1;3;0;0
14;1;4;0;0
14;1;5;0;0
14;1;6;0;0
14;1;7;0;0
14;2;0;0;0
14;7;0;0;0
14;8;0;0;0
2;1;0;0;0
2;1;7;0;0
2;3;0;0;0
2;7;0;0;0
2;8;0;0;0
5;1;0;0;0
5;1;7;0;0
5;3;0;0;0
5;7;0;0;0
5;8;0;0;0
15;1;0;0;0
15;1;1;0;0
